scryfallId,quantity,dateAdded
038710ca-c756-4e66-a9de-278e676c9f5b,1,
1c575871-9b46-4cd4-8596-54dc04f76456,1,
25a6e1bb-c751-447c-be69-e03692568678,2,
36cb9b12-98a3-4770-9ae0-a3b02f057c2e,1,
3b913b54-1a5c-4708-95c6-883c0f285d68,1,
425d5bea-9c9a-4e8a-b4bc-02284fb9b5b4,1,
4d6901e7-d519-4dfc-a74d-63fff5e4ffae,3,
82ae4f7b-8122-4af6-8079-888eabf1a11e,3,
94d11159-c389-4461-abf9-2a3be6b39d8d,1,
9a069e96-2786-493d-aca8-f70611435dbe,1,
aa192912-c9ee-403f-8a46-a338c9edb4b9,1,
c0a00a77-1f7b-4528-aaf1-b2d78e73a604,1,
c5620c22-910c-4d33-a5e9-4c4eac8c6304,1,
c634273a-94b0-4104-9d10-ae522ece1fc7,3,
c9e9b71b-a54c-4891-9c16-28aebfafb644,1,
d68d891d-333f-46c9-b5a3-3b1d4d3e4563,1,
d99a9a7d-d9ca-4c11-80ab-e39d5943a315,1,
f0b73ab0-b8eb-4a6f-a8d9-25d56fdf740a,3,
f57d0446-1eae-4b88-b65c-92a14a3f9cef,1,
